,Ticker,Start Price,End Price,Price Change,Price Change %
43,LCAPW,0.66,0.96,0.29999999999999993,45.45454545454544
44,KBNT,0.6952,1.01,0.31479999999999997,45.281933256616796
45,GMVDW,0.11,0.1598,0.0498,45.27272727272727
46,GPCOR,0.1665,0.24,0.07349999999999998,44.14414414414413
47,NOTV,12.16,17.49,5.329999999999998,43.832236842105246
48,BHIL,2.54,3.65,1.1099999999999999,43.7007874015748
49,STSSW,0.3,0.4291,0.1291,43.03333333333333
50,LSF,2.07,2.95,0.8800000000000003,42.512077294686016
51,RKDA,0.886411,1.26,0.37358900000000006,42.14625044138668
52,GATEW,0.0972,0.138,0.04080000000000002,41.97530864197533
53,EXFY,14.11,20.01,5.900000000000002,41.814316087880954
54,SQSP,14.96,21.14,6.18,41.31016042780748
55,HYZNW,0.51,0.72,0.20999999999999996,41.17647058823529
56,LIDRW,0.88,1.2402,0.36019999999999996,40.93181818181818
57,CNCE,2.9341,4.12,1.1859000000000002,40.41784533587813
58,INTZ,1.9,2.66,0.7600000000000002,40.000000000000014
59,GFGDR,0.1,0.14,0.04000000000000001,40.00000000000001
60,BSGM,0.80005,1.12,0.31995000000000007,39.99125054684083
61,JUGGW,0.3296,0.46,0.13040000000000002,39.56310679611651
62,HPKEW,15.75,21.97,6.219999999999999,39.49206349206349
63,CXDO,2.15,2.99,0.8400000000000003,39.06976744186048
64,NUBIW,0.1295,0.18,0.05049999999999999,38.99613899613898
65,MVSTW,0.44,0.61,0.16999999999999998,38.63636363636363
66,SWIR,15.23,21.1,5.870000000000001,38.54235062376888
67,CHWAW,0.2601,0.3599,0.0998,38.369857747020376
68,AVIR,5.43,7.51,2.08,38.30570902394107
69,APACW,0.12,0.1655,0.04550000000000001,37.91666666666668
70,CABA,1.345,1.85,0.5050000000000001,37.546468401487
71,YOU,23.25,31.65,8.399999999999999,36.129032258064505
72,AVPTW,0.599899,0.8149,0.215001,35.839532988052994
73,HRB,24.0,32.6,8.600000000000001,35.83333333333334
74,CRBU,7.22,9.79,2.5699999999999994,35.595567867036
75,INCR,5.68,7.7,2.0200000000000005,35.56338028169015
76,VGFC,0.1943,0.2626,0.0683,35.151827071538854
77,MYPS,3.95,5.33,1.38,34.93670886075949
78,NVCT,14.13,19.0,4.869999999999999,34.465675866949745
79,FIACW,0.15,0.2016,0.05160000000000001,34.400000000000006
80,KLXE,4.08,5.48,1.4000000000000004,34.313725490196084
81,RENO,0.1837,0.2467,0.063,34.29504627109418
82,PRAX,8.57,11.5,2.9299999999999997,34.189031505250874
83,VORBW,0.52985,0.71,0.18014999999999992,34.00018873266017
84,NEXT,5.0301,6.74,1.7099000000000002,33.993359972962764
85,JT,1.12,1.5,0.3799999999999999,33.928571428571416
86,CLVRW,0.15,0.2007,0.050699999999999995,33.8
87,TRMD,9.65,12.9,3.25,33.67875647668394
88,OTRK,1.25,1.6699,0.41989999999999994,33.59199999999999
89,FSRDW,0.0674,0.09,0.022599999999999995,33.53115727002967
90,LTRYW,0.209199,0.279199,0.06999999999999998,33.46096300651532
91,CNTQW,0.2399,0.32,0.0801,33.38891204668612
92,SAITW,0.3,0.3999,0.09989999999999999,33.3
93,TGVCW,0.15,0.1999,0.0499,33.266666666666666
