,Date,Close,Ticker
0,2022-05-16 12:00:00+00:00,9.84,AACI
1,2022-05-10 12:00:00+00:00,9.495,ACLX
2,2022-05-10 16:00:00+00:00,9.62,ACLX
3,2022-05-10 20:00:00+00:00,9.69,ACLX
4,2022-05-11 12:00:00+00:00,9.26,ACLX
5,2022-05-11 16:00:00+00:00,8.855,ACLX
6,2022-05-11 20:00:00+00:00,8.89,ACLX
7,2022-05-12 12:00:00+00:00,8.95,ACLX
8,2022-05-12 16:00:00+00:00,8.84,ACLX
9,2022-05-12 20:00:00+00:00,8.8,ACLX
10,2022-05-13 12:00:00+00:00,9.0,ACLX
11,2022-05-13 16:00:00+00:00,8.98,ACLX
12,2022-05-13 20:00:00+00:00,8.91,ACLX
13,2022-05-16 12:00:00+00:00,8.54,ACLX
14,2022-05-16 16:00:00+00:00,7.15,ACLX
15,2022-05-16 20:00:00+00:00,7.61,ACLX
16,2022-05-10 08:00:00+00:00,4.0,BKCC
17,2022-05-10 12:00:00+00:00,3.9973,BKCC
18,2022-05-10 16:00:00+00:00,4.005,BKCC
19,2022-05-10 20:00:00+00:00,4.0,BKCC
20,2022-05-11 12:00:00+00:00,4.0327,BKCC
21,2022-05-11 16:00:00+00:00,4.0,BKCC
22,2022-05-11 20:00:00+00:00,4.07,BKCC
23,2022-05-12 08:00:00+00:00,3.98,BKCC
24,2022-05-12 12:00:00+00:00,3.92,BKCC
25,2022-05-12 16:00:00+00:00,3.87,BKCC
26,2022-05-12 20:00:00+00:00,3.87,BKCC
27,2022-05-13 12:00:00+00:00,3.99,BKCC
28,2022-05-13 16:00:00+00:00,3.96,BKCC
29,2022-05-13 20:00:00+00:00,3.99,BKCC
30,2022-05-16 12:00:00+00:00,3.9941,BKCC
31,2022-05-16 16:00:00+00:00,4.0,BKCC
32,2022-05-16 20:00:00+00:00,4.01,BKCC
33,2022-05-10 12:00:00+00:00,14.55,BSM
34,2022-05-10 16:00:00+00:00,14.84,BSM
35,2022-05-10 20:00:00+00:00,14.83,BSM
36,2022-05-11 08:00:00+00:00,15.14,BSM
37,2022-05-11 12:00:00+00:00,15.368,BSM
38,2022-05-11 16:00:00+00:00,14.97,BSM
39,2022-05-11 20:00:00+00:00,15.25,BSM
